time,geo,Prices,Seasonal adjustment,values,na_item,North American Industry Classification System (NAICS),Type of fuel
2023-01-01,Canada,NA,NA,"627,578.03",StorageGas,NA,NA
2023-04-01,Canada,NA,NA,"733,131.10",StorageGas,NA,NA
2023-07-01,Canada,NA,NA,"989,672.40",StorageGas,NA,NA
2023-10-01,Canada,NA,NA,"1,097,640.70",StorageGas,NA,NA
2024-01-01,Canada,NA,NA,"836,344.30",StorageGas,NA,NA
2024-04-01,Canada,NA,NA,"955,114.37",StorageGas,NA,NA
2024-07-01,Canada,NA,NA,"1,116,955.70",StorageGas,NA,NA
2024-10-01,Canada,NA,NA,"1,156,301.30",StorageGas,NA,NA
2025-01-01,Canada,NA,NA,"791,203.23",StorageGas,NA,NA
2025-04-01,Canada,NA,NA,"885,149.13",StorageGas,NA,NA
2025-07-01,Canada,NA,NA,"1,115,521.67",StorageGas,NA,NA
2025-10-01,Canada,NA,NA,NA,StorageGas,NA,NA
2018-01-01,Canada,NA,NA,70.00,OilIntensity,NA,NA
2018-04-01,Canada,NA,NA,70.00,OilIntensity,NA,NA
2018-07-01,Canada,NA,NA,70.00,OilIntensity,NA,NA
2018-10-01,Canada,NA,NA,70.00,OilIntensity,NA,NA
2019-01-01,Canada,NA,NA,70.00,OilIntensity,NA,NA
2019-04-01,Canada,NA,NA,70.00,OilIntensity,NA,NA
2019-07-01,Canada,NA,NA,70.00,OilIntensity,NA,NA
2019-10-01,Canada,NA,NA,70.00,OilIntensity,NA,NA
2020-01-01,Canada,NA,NA,70.00,OilIntensity,NA,NA
2020-04-01,Canada,NA,NA,70.00,OilIntensity,NA,NA
2020-07-01,Canada,NA,NA,70.00,OilIntensity,NA,NA
2020-10-01,Canada,NA,NA,70.00,OilIntensity,NA,NA
2021-01-01,Canada,NA,NA,70.00,OilIntensity,NA,NA
2021-04-01,Canada,NA,NA,70.00,OilIntensity,NA,NA
2021-07-01,Canada,NA,NA,70.00,OilIntensity,NA,NA
2021-10-01,Canada,NA,NA,70.00,OilIntensity,NA,NA
2022-01-01,Canada,NA,NA,70.00,OilIntensity,NA,NA
2022-04-01,Canada,NA,NA,70.00,OilIntensity,NA,NA
2022-07-01,Canada,NA,NA,70.00,OilIntensity,NA,NA
2022-10-01,Canada,NA,NA,70.00,OilIntensity,NA,NA
2023-01-01,Canada,NA,NA,70.00,OilIntensity,NA,NA
2023-04-01,Canada,NA,NA,70.00,OilIntensity,NA,NA
2023-07-01,Canada,NA,NA,70.00,OilIntensity,NA,NA
2023-10-01,Canada,NA,NA,70.00,OilIntensity,NA,NA
2024-01-01,Canada,NA,NA,70.00,OilIntensity,NA,NA
2024-04-01,Canada,NA,NA,70.00,OilIntensity,NA,NA
2024-07-01,Canada,NA,NA,70.00,OilIntensity,NA,NA
2024-10-01,Canada,NA,NA,70.00,OilIntensity,NA,NA
2025-01-01,Canada,NA,NA,70.00,OilIntensity,NA,NA
2025-04-01,Canada,NA,NA,70.00,OilIntensity,NA,NA
2025-07-01,Canada,NA,NA,70.00,OilIntensity,NA,NA
2025-10-01,Canada,NA,NA,70.00,OilIntensity,NA,NA
2018-01-01,Canada,NA,NA,7.00,GasIntensity,NA,NA
2018-04-01,Canada,NA,NA,7.00,GasIntensity,NA,NA
2018-07-01,Canada,NA,NA,7.00,GasIntensity,NA,NA
2018-10-01,Canada,NA,NA,7.00,GasIntensity,NA,NA
2019-01-01,Canada,NA,NA,7.00,GasIntensity,NA,NA
2019-04-01,Canada,NA,NA,7.00,GasIntensity,NA,NA
2019-07-01,Canada,NA,NA,7.00,GasIntensity,NA,NA
2019-10-01,Canada,NA,NA,7.00,GasIntensity,NA,NA
2020-01-01,Canada,NA,NA,7.00,GasIntensity,NA,NA
2020-04-01,Canada,NA,NA,7.00,GasIntensity,NA,NA
2020-07-01,Canada,NA,NA,7.00,GasIntensity,NA,NA
2020-10-01,Canada,NA,NA,7.00,GasIntensity,NA,NA
2021-01-01,Canada,NA,NA,7.00,GasIntensity,NA,NA
2021-04-01,Canada,NA,NA,7.00,GasIntensity,NA,NA
2021-07-01,Canada,NA,NA,7.00,GasIntensity,NA,NA
2021-10-01,Canada,NA,NA,7.00,GasIntensity,NA,NA
2022-01-01,Canada,NA,NA,7.00,GasIntensity,NA,NA
2022-04-01,Canada,NA,NA,7.00,GasIntensity,NA,NA
2022-07-01,Canada,NA,NA,7.00,GasIntensity,NA,NA
2022-10-01,Canada,NA,NA,7.00,GasIntensity,NA,NA
2023-01-01,Canada,NA,NA,7.00,GasIntensity,NA,NA
2023-04-01,Canada,NA,NA,7.00,GasIntensity,NA,NA
2023-07-01,Canada,NA,NA,7.00,GasIntensity,NA,NA
2023-10-01,Canada,NA,NA,7.00,GasIntensity,NA,NA
2024-01-01,Canada,NA,NA,7.00,GasIntensity,NA,NA
2024-04-01,Canada,NA,NA,7.00,GasIntensity,NA,NA
2024-07-01,Canada,NA,NA,7.00,GasIntensity,NA,NA
2024-10-01,Canada,NA,NA,7.00,GasIntensity,NA,NA
2025-01-01,Canada,NA,NA,7.00,GasIntensity,NA,NA
2025-04-01,Canada,NA,NA,7.00,GasIntensity,NA,NA
2025-07-01,Canada,NA,NA,7.00,GasIntensity,NA,NA
2025-10-01,Canada,NA,NA,7.00,GasIntensity,NA,NA
2018-01-01,Canada,NA,NA,150.00,REFIntensity,NA,NA
2018-04-01,Canada,NA,NA,150.00,REFIntensity,NA,NA
2018-07-01,Canada,NA,NA,150.00,REFIntensity,NA,NA
2018-10-01,Canada,NA,NA,150.00,REFIntensity,NA,NA
2019-01-01,Canada,NA,NA,150.00,REFIntensity,NA,NA
2019-04-01,Canada,NA,NA,150.00,REFIntensity,NA,NA
2019-07-01,Canada,NA,NA,150.00,REFIntensity,NA,NA
2019-10-01,Canada,NA,NA,150.00,REFIntensity,NA,NA
2020-01-01,Canada,NA,NA,150.00,REFIntensity,NA,NA
2020-04-01,Canada,NA,NA,150.00,REFIntensity,NA,NA
2020-07-01,Canada,NA,NA,150.00,REFIntensity,NA,NA
2020-10-01,Canada,NA,NA,150.00,REFIntensity,NA,NA
2021-01-01,Canada,NA,NA,150.00,REFIntensity,NA,NA
2021-04-01,Canada,NA,NA,150.00,REFIntensity,NA,NA
2021-07-01,Canada,NA,NA,150.00,REFIntensity,NA,NA
2021-10-01,Canada,NA,NA,150.00,REFIntensity,NA,NA
2022-01-01,Canada,NA,NA,150.00,REFIntensity,NA,NA
2022-04-01,Canada,NA,NA,150.00,REFIntensity,NA,NA
2022-07-01,Canada,NA,NA,150.00,REFIntensity,NA,NA
2022-10-01,Canada,NA,NA,150.00,REFIntensity,NA,NA
2023-01-01,Canada,NA,NA,150.00,REFIntensity,NA,NA
2023-04-01,Canada,NA,NA,150.00,REFIntensity,NA,NA
2023-07-01,Canada,NA,NA,150.00,REFIntensity,NA,NA
2023-10-01,Canada,NA,NA,150.00,REFIntensity,NA,NA
2024-01-01,Canada,NA,NA,150.00,REFIntensity,NA,NA
2024-04-01,Canada,NA,NA,150.00,REFIntensity,NA,NA
2024-07-01,Canada,NA,NA,150.00,REFIntensity,NA,NA
2024-10-01,Canada,NA,NA,150.00,REFIntensity,NA,NA
2025-01-01,Canada,NA,NA,150.00,REFIntensity,NA,NA
2025-04-01,Canada,NA,NA,150.00,REFIntensity,NA,NA
2025-07-01,Canada,NA,NA,150.00,REFIntensity,NA,NA
2025-10-01,Canada,NA,NA,150.00,REFIntensity,NA,NA
